우편번호,주소,상세주소,받는분(매장명),직함,전화번호,메모(제안내용)
08504,"서울특별시 금천구 가산디지털*로 ***-**, 가산모비우스타워 ****-*호 (가산동)",,(주) 엠에이디씨,대표님(원장님) 귀하,02-6925-5866,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
08632,"서울특별시 금천구 시흥대로 ***, 삼성홈플러스 지하 *층 (시흥동)",,홈플러스 시흥점 수족관,대표님(원장님) 귀하,02-895-2080,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,"서울특별시 영등포구 당산로 ** (문래동*가,삼성홈플러스빌딩 *층)",,도그플러스동물병원,대표님(원장님) 귀하,2069-0082,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07305,"서울특별시 영등포구 영중로 **, 타임스퀘어 지하층 B***호 (영등포동*가)",,러브펫 동물병원,대표님(원장님) 귀하,02-2634-8275,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07301,서울특별시 영등포구 영중로 ** (영등포동*가),,베이비몽,대표님(원장님) 귀하,02-6180-0086,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07436,서울특별시 영등포구 신길로 **(신길동),,신풍,대표님(원장님) 귀하,02-835-7572,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
07326,"서울특별시 영등포구 국제금융로 **, 서울 국제금융 센터 비*동 엘*층 (여의도동)",,비쇼네,대표님(원장님) 귀하,6137-5236,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06661,서울특별시 서초구 서초대로 *** (방배동),,아이러브독 서초점,대표님(원장님) 귀하,02-523-8077,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06791,"서울특별시 서초구 논현로*길 ** (양재동, 서초미르)",,언커먼독,대표님(원장님) 귀하,02-1600-3466,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06575,"서울특별시 서초구 사평대로**길 **, *층 (반포동)",,낭만고양이,대표님(원장님) 귀하,02-3477-9005,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06680,"서울특별시 서초구 방배중앙로 **, ***호 (방배동)",,도그소사이어티,대표님(원장님) 귀하,02-582-5998,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06687,"서울특별시 서초구 효령로 **, 효서빌딩 (방배동)",,잇츠그루밍타임,대표님(원장님) 귀하,02-533-8086,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06018,"서울특별시 강남구 선릉로***길 **-*, *층 (신사동)",,슈퍼바우,대표님(원장님) 귀하,1577-2711,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06028,서울특별시 강남구 압구정로**길 ** (신사동),,강아지마을2012,대표님(원장님) 귀하,070-4001-3345,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06013,"서울특별시 강남구 압구정로**길 **-*, *층 (청담동)",,멈미스,대표님(원장님) 귀하,02-512-0401,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06056,"서울특별시 강남구 선릉로 ***, 한솔빌딩 *층 (논현동)",,청담펫츠,대표님(원장님) 귀하,02-548-8844,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
06083,"서울특별시 강남구 영동대로 ***, *층 브이***호 (삼성동, 삼성동 미켈란 ***)",,파이리코,대표님(원장님) 귀하,02-6205-1188,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05625,서울특별시 송파구 송파대로 *** (송파동),,PET WAVE,대표님(원장님) 귀하,02-1551-1515,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05836,"서울특별시 송파구 법원로 ***, 문정대명벨리온 ***호 (문정동)",,유니온바이오메트릭스,대표님(원장님) 귀하,02-6488-3147,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05805,"서울특별시 송파구 동남로*길 *, 대전빌딩 *층 (문정동)",,(주)로지스톤,대표님(원장님) 귀하,02-400-1387,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05790,"서울특별시 송파구 위례서로 ***, 위례제일주유소 *층 (거여동)",,야옹아멍멍해봐 송파위례점,대표님(원장님) 귀하,02-3012-4400,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05566,"서울특별시 송파구 석촌호수로 ***, *층 (잠실동)",,잠실 강아지분양 고양이분양 서리펫,대표님(원장님) 귀하,1566-8713,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05600,서울특별시 송파구 석촌호수로 *** (삼전동),,잠실준25시동물병원,대표님(원장님) 귀하,02-415-7580,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05840,"서울특별시 송파구 충민로 **, 지하*층 (문정동, 가든파이브툴)",,몰리스펫샵 코리아퍼피 가든점,대표님(원장님) 귀하,070-8870-8245,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05804,서울특별시 송파구 동남로*길 ** (문정동),,리얼허브애견카페,대표님(원장님) 귀하,02-449-2700,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05603,서울특별시 송파구 삼학사로 ** (삼전동),,하트동물메디컬센터,대표님(원장님) 귀하,02-424-2955,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05403,서울특별시 강동구 양재대로**길 ** (성내동),,하치이야기,대표님(원장님) 귀하,02-479-3385,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05328,"서울특별시 강동구 천호대로 **** (천호동, 이마트)",,로얄수족관,대표님(원장님) 귀하,02-2690-7311,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05319,서울특별시 강동구 상암로 **-*(천호동),,멍멍이냥 강아지분양,대표님(원장님) 귀하,02-470-4469,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05343,"서울특별시 강동구 양재대로 ****, c동 *층 (길동)",,미소펫,대표님(원장님) 귀하,02-486-4589,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05405,"서울특별시 강동구 양재대로**가길 **, 키키빌딩 *층 (성내동)",,포포앤미루 강동점,대표님(원장님) 귀하,02-471-8825,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
05374,"서울특별시 강동구 양재대로***길 **, ***호 (성내동)",,어바웃독,대표님(원장님) 귀하,02-558-8077,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22324,"인천광역시 중구 인중로 ***, 동인천이마트 (신생동)",,(주)이마트 동인천점,대표님(원장님) 귀하,032-451-1234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22322,"인천광역시 중구 우현로 ** (내동, 피아투,강아지나라)",,강아지나라,대표님(원장님) 귀하,032-762-1094,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22322,"인천광역시 제물포구 우현로 ** (내동, 피아투,강아지나라)",,강아지나라,대표님(원장님) 귀하,032-762-1094,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22545,인천광역시 제물포구 송림로 *** (송림동),,주주클럽,대표님(원장님) 귀하,032-777-4599,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22324,"인천광역시 제물포구 인중로 ***, 동인천이마트 (신생동)",,(주)이마트 동인천점,대표님(원장님) 귀하,032-451-1234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22560,인천광역시 제물포구 새천년로 ** (송림동),,밍키애견,대표님(원장님) 귀하,032-889-5001,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22210,인천광역시 미추홀구 인하로***번길 * (용현동),,둥지애견,대표님(원장님) 귀하,032-874-1555,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22153,인천광역시 미추홀구 제일로 ** (도화동),,토토애견,대표님(원장님) 귀하,032-873-8015,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22139,인천광역시 미추홀구 경인로***번길 **-** (주안동),,아지세상(애견샾),대표님(원장님) 귀하,032-876-1253,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22134,"인천광역시 미추홀구 주안로 ***, *층 (주안동)",,버디독 고양이분양 강아지분양 안심분양센터 인천점,대표님(원장님) 귀하,070-4795-9394,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22201,"인천광역시 미추홀구 소성로 *, 홈플러스 B*층 (학익동)",,홈플러스 인하점 수족관,대표님(원장님) 귀하,032-763-2080,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22001,"인천광역시 연수구 컨벤시아대로 **, ***동 ***, ***호 (송도동, 푸르지오월드마크)",,섹시독,대표님(원장님) 귀하,032-834-0907,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21926,"인천광역시 연수구 청능대로 ** (청학동, 롯데마트 연수점)",,한강아쿠아 롯데마트 연수점,대표님(원장님) 귀하,031-527-4244,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21975,"인천광역시 연수구 청능대로 ***, 홈플러스 인천연수점 B*층 X*,YF호 (동춘동)",,몽몽이하우스 인천연수점,대표님(원장님) 귀하,032-822-8275,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22002,"인천광역시 연수구 신송로 ***-**, 대경스위트리아 ***호 (송도동)",,퍼피하우스 인천송도점,대표님(원장님) 귀하,070-4197-9594,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21998,"인천광역시 연수구 컨벤시아대로 ***, 롯데마트 *층 (송도동)",,한강아쿠아영어조합법인 송도점,대표님(원장님) 귀하,031-527-4244,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21998,"인천광역시 연수구 테크노파크로***번길 *, 스타빌딩 ***-B**호 (송도동)",,주식회사 우연컴퍼니,대표님(원장님) 귀하,02-2038-8602,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21545,인천광역시 남동구 남동대로 *** (간석동),,유앤미펫 강아지분양 고양이분양 인천본점,대표님(원장님) 귀하,1670-2699,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21530,인천광역시 남동구 무네미로 ***-** (장수동),,인천개공원 카페,대표님(원장님) 귀하,032-461-6021,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21589,인천광역시 남동구 인주대로 *** (만수동),,애견용품 창고형 할인매장,대표님(원장님) 귀하,032-471-0289,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21673,"인천광역시 남동구 앵고개로 ***, *층 ***, ***, ***호 (논현동)",,인천강아지분양 고양이분양 도그마루,대표님(원장님) 귀하,1566-8713,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21007,"인천광역시 계양구 장제로 ****, 장기빌딩 *층 (장기동)",,퍼피월드,대표님(원장님) 귀하,032-551-7896,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
21120,"인천광역시 계양구 계양대로**번길 *, ***호 (작전동)",,자연동물병원,대표님(원장님) 귀하,032-551-0975,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22765,인천광역시 서해구 옥빛로*번안길 * (청라동),,베이비몽 강아지분양 인천청라점,대표님(원장님) 귀하,032-561-9770,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22778,"인천광역시 서해구 가정로 ***, 서경 플러스 존 B**층 (신현동)",,판다팜 서구신현점,대표님(원장님) 귀하,032-572-9341,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22722,"인천광역시 서해구 서곶로 ***, *층 (연희동)",,우리동물병원,대표님(원장님) 귀하,032-566-0075,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
22813,"인천광역시 서해구 고래울로 **, *층 (가좌동)",,헤르젠PH컷,대표님(원장님) 귀하,032-577-0365,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16252,경기도 수원시 팔달구 정조로 *** (장안동),,애견백화점,대표님(원장님) 귀하,031-256-5090,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16579,"경기도 수원시 권선구 세권로 ***, ***호 (세류동, 해피하임아파트)",,펫독 강아지고양이분양 미용,대표님(원장님) 귀하,031-698-6821,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 수원시 권선구 수인로 *** (구운동),,(주)밀레펫 서수원점,대표님(원장님) 귀하,031-485-5820,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16585,"경기도 수원시 권선구 경수대로 ***, *층 (권선동)",,(주)밀레펫 수원점,대표님(원장님) 귀하,031-485-5820,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16553,경기도 수원시 권선구 동수원로 *** (권선동),,쿨펫동물병원,대표님(원장님) 귀하,031-237-1175,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16705,경기도 수원시 영통구 반달로 ** (영통동),,수원강아지분양 고양이분양 아이러브독 말티즈말티푸미니비숑,대표님(원장님) 귀하,031-204-2357,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16577,"경기도 수원시 권선구 정조로 ***, *층 (세류동)",,펫츠랑,대표님(원장님) 귀하,031-226-1515,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16334,"경기도 수원시 장안구 대평로**번길 **, 라이프스포츠 수원 ***,***(일부)호 (정자동)",,해피주 수원점,대표님(원장님) 귀하,031-546-0980,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16470,"경기도 수원시 팔달구 중부대로**번길 **, *,*층 (인계동)",,해피펫클럽,대표님(원장님) 귀하,031-234-2001,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16465,경기도 수원시 팔달구 정조로***번길 ** (매교동),,수원시바견,대표님(원장님) 귀하,031-303-9525,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16705,"경기도 수원시 영통구 청명남로 **, 거성빌딩 *층 ***호 (영통동)",,아가마미 고양이카페,대표님(원장님) 귀하,031-203-4075,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13617,"경기도 성남시 분당구 금곡로 ***, ***호 (금곡동)",,아마존,대표님(원장님) 귀하,031-714-5530,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13601,경기도 성남시 분당구 발이봉북로**번길 * (수내동),,우정앤독스,대표님(원장님) 귀하,070-4202-7788,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13123,경기도 성남시 수정구 수정남로***번길 * (산성동),,몽땅 펫샾,대표님(원장님) 귀하,070-5035-0760,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13558,"경기도 성남시 분당구 성남대로 ***, ***호 (정자동, 시그마타워)",,비포유,대표님(원장님) 귀하,031-715-2298,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13477,경기도 성남시 분당구 운중로***번길 *-* (판교동),,멍스터,대표님(원장님) 귀하,8016-5359,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13609,경기도 성남시 분당구 백현로***번길 *-* (정자동),,해피애견타운 분당판교점,대표님(원장님) 귀하,031-713-3210,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13362,"경기도 성남시 중원구 광명로***번길 **, *층 (성남동)",,마쵸,대표님(원장님) 귀하,031-723-9567,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13539,경기도 성남시 분당구 안양판교로****번길 ** (백현동),,도그스101,대표님(원장님) 귀하,031-701-7942,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13596,"경기도 성남시 분당구 백현로 *** (정자동, 정자I PARK)",,펫 파라다이스,대표님(원장님) 귀하,070-8840-8182,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13100,경기도 성남시 수정구 오야남로**번길 **-* (오야동),,(주)펫꼬뺑이,대표님(원장님) 귀하,02-6457-8000,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13347,"경기도 성남시 수정구 시민로 ***, ***호 (신흥동)",,한빛,대표님(원장님) 귀하,070-8888-9830,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13477,"경기도 성남시 분당구 운중로***번길 **-*, *층 (판교동)",,러빈펫(lovin pet),대표님(원장님) 귀하,070-7756-2986,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13288,"경기도 성남시 수정구 탄리로**번길 *, *층 (태평동)",,행복한강아지,대표님(원장님) 귀하,031-755-8384,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13180,경기도 성남시 중원구 희망로 *** (금광동),,서울동물병원,대표님(원장님) 귀하,031-733-1119,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13536,"경기도 성남시 분당구 판교역로**번길 **, *층 (백현동)",,퍼피블러썸,대표님(원장님) 귀하,070-4119-3355,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13305,"경기도 성남시 수정구 수정로 ***, *층 (태평동)",,중앙동물병원,대표님(원장님) 귀하,031-755-9429,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13647,"경기도 성남시 수정구 위례서일로*길 *-**, *층 (창곡동)",,바우스토리,대표님(원장님) 귀하,031-756-5882,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13647,"경기도 성남시 수정구 위례서일로*길 *-**, *층 ***호 (창곡동)",,아인츠독 강아지애견분양 성남위례본점,대표님(원장님) 귀하,031-757-4885,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13604,"경기도 성남시 분당구 불곡로 *, 리더스프라자 *층 ***호 (정자동)",,반하다펫,대표님(원장님) 귀하,031-713-4552,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,"경기도 성남시 분당구 불곡로 *, ***호 (정자동,리더스프라자)",,플란다스의 개,대표님(원장님) 귀하,031-718-4552,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
