순번,발송일시,분류,권역,상호및기관명,수신번호
84,2026-09-07 12:15:21,동물약국,경기,건강드림약국(고양),1054136478
85,2026-09-07 12:15:22,동물약국,경기,꼼꼼약국,1046391077
86,2026-09-07 12:15:22,동물약국,경기,하나온누리약국(김포),1026996503
87,2026-09-07 12:15:23,동물약국,경기,인생약국,1064618275
88,2026-09-07 12:15:23,동물약국,경기,진접서울동물약국(아침약국),1042044321
89,2026-09-07 12:15:24,동물약국,경기,단골약국,1023272111
90,2026-09-07 12:15:24,동물약국,경기,역곡튼튼약국,1039767717
91,2026-09-07 12:15:25,동물약국,경기,판교풀잎약국,1076668973
92,2026-09-07 12:15:25,동물약국,경기,공감약국(영통),1094644568
93,2026-09-07 12:15:26,동물약국,경기,영통미루약국,1073927693
94,2026-09-07 12:15:26,동물약국,경기,참약사순수약국,1097449787
95,2026-09-07 12:15:27,동물약국,경기,건강이열리는약국,1064647889
96,2026-09-07 12:15:27,동물약국,경기,정다운약국(안산),1043413650
97,2026-09-07 12:15:28,동물약국,경기,홍약국(고잔),1050514379
98,2026-09-07 12:15:28,동물약국,경기,365스마일약국,1090621496
99,2026-09-07 12:15:29,동물약국,경기,365올바른약국,1040687660
100,2026-09-07 12:15:29,동물약국,경기,라라약국(안양),1059249777
101,2026-09-07 12:15:30,동물약국,경기,대성약국(양주),1046493605
102,2026-09-07 12:15:30,동물약국,경기,나은약국(용인),1099069765
103,2026-09-07 12:15:31,동물약국,경기,산림약국,1028267202
104,2026-09-07 12:15:31,동물약국,경기,봄날약국(평택),1053558799
105,2026-09-07 12:15:32,동물약국,경기,평택녹십자동물약국,1021453307
106,2026-09-07 12:15:32,동물약국,경기,나무약국(화성),1030348997
107,2026-09-07 12:15:33,동물약국,경기,동탄365약국,1020120038
108,2026-09-07 12:15:34,동물약국,인천,보배약국(계양),1034773156
109,2026-09-07 12:15:34,동물약국,인천,인천시민약국,1027633764
110,2026-09-07 12:15:35,동물약국,인천,구름약국(인천),1074434170
111,2026-09-07 12:15:35,동물약국,인천,성모바로약국,1076198280
112,2026-09-07 12:15:36,동물약국,인천,소망약국(부평),1074146618
113,2026-09-07 12:15:36,동물약국,인천,두리약국,1044822253
114,2026-09-07 12:15:37,동물약국,인천,블루팜약국,1094922248
115,2026-09-07 12:15:37,동물약국,부산,사나약국,1066020837
116,2026-09-07 12:15:38,동물약국,부산,내몸에좋은약국,1022439448
117,2026-09-07 12:15:38,동물약국,부산,센텀시티역아우라약국,1021352100
118,2026-09-07 12:15:39,동물약국,대구,팔공산약국,1080248078
119,2026-09-07 12:15:39,동물약국,대구,마을약국(김),1021657558
120,2026-09-07 12:15:40,동물약국,대구,화원우정약국,1029349055
121,2026-09-07 12:15:40,동물약국,대구,즐거운약국(대구),1023802996
122,2026-09-07 12:15:41,동물약국,대구,평리제일약국&초코동물약국,1030832595
123,2026-09-07 12:15:41,동물약국,대전,송강태평양약국,1030391563
124,2026-09-07 12:15:42,동물약국,대전,고려약국(대전),1027922155
125,2026-09-07 12:15:42,동물약국,광주,선운포도약국,1021200031
126,2026-09-07 12:15:43,동물약국,광주,영광통약국 멍냥동물약국,1092219415
127,2026-09-07 12:15:43,동물약국,경남,정성약국(김해),1029715060
128,2026-09-07 12:15:44,동물약국,경남,포도약국(구.경희약국),1026008595
129,2026-09-07 12:15:44,동물약국,경북,으뜸약국(경산),1089741133
130,2026-09-07 12:15:45,동물약국,경북,아포동물약국,1077497115
131,2026-09-07 12:15:46,동물약국,경북,라라약국(포항),1071696569
132,2026-09-07 12:15:46,동물약국,충북,늘봄동물약국,1032337800
133,2026-09-07 12:15:47,동물약국,전남,365 청호큰약국,1096790923
134,2026-09-07 12:15:47,동물약국,강원,하나로약국(강릉),1048830439
135,2026-09-07 12:15:48,동물약국,강원,철원온누리약국,1089940061
136,2026-09-07 12:15:48,동물약국,강원,365약국(춘천),1084277371
137,2026-09-07 12:15:49,동물약국,강원,맑은온누리약국(춘천),1025622051
138,2026-09-07 12:15:50,유기견보호센터/쉼터,서울,또리네 쉼터,1027787385
139,2026-09-07 12:15:50,유기견보호센터/쉼터,서울,또리네 쉼터 (부소장),1082682272
140,2026-09-07 12:15:51,유기견보호센터/쉼터,서울,동물과 함께 행복한 세상 (발라당 쉼터),1088636277
141,2026-09-07 12:15:51,유기견보호센터/쉼터,서울,동물과 함께 행복한 세상 (구호팀),1026881019
142,2026-09-07 12:15:52,유기견보호센터/쉼터,인천,행진돌봄터 (행진 쉼터),1076684494
143,2026-09-07 12:15:52,유기견보호센터/쉼터,경기,시작 유기견 보호소,1034674077
144,2026-09-07 12:15:53,유기견보호센터/쉼터,경기,평택 콜리하우스 쉼터,1075975977
145,2026-09-07 12:15:53,유기견보호센터/쉼터,경기,마석 유기견묘 보호소,1027672075
146,2026-09-07 12:15:54,유기견보호센터/쉼터,경기,꽁꽁이네 유기견 쉼터,1045631589
147,2026-09-07 12:15:54,유기견보호센터/쉼터,경기,반달이네 유기견 쉼터,1083759505
148,2026-09-07 12:15:55,유기견보호센터/쉼터,경기,유기견숲 (ALPA 쉼터),1052139151
149,2026-09-07 12:15:55,유기견보호센터/쉼터,경기,사단법인 다시봄 (룽지네 쉼터),1057278665
150,2026-09-07 12:15:56,유기견보호센터/쉼터,경기,생명공감 보듬센터,1075074504
151,2026-09-07 12:15:56,유기견보호센터/쉼터,대전,시온쉼터,1039396036
152,2026-09-07 12:15:57,유기견보호센터/쉼터,충남,시흥엔젤홈 유기견보호소,1033337675
153,2026-09-07 12:15:57,유기견보호센터/쉼터,전북,별빛 유기견 지킴이,1041371009
154,2026-09-07 12:15:58,유기견보호센터/쉼터,대구,대구 호루라기 쉼터,1054641264
155,2026-09-07 12:15:58,유기견보호센터/쉼터,대구,대구 경산아이들 쉼터,1026839008
156,2026-09-07 12:15:59,유기견보호센터/쉼터,대구,대구 경산아이들 쉼터 (봉사팀),1048146688
157,2026-09-07 12:16:00,유기견보호센터/쉼터,경북,상주시 동물보호센터 (임시쉼터),1066821198
158,2026-09-07 12:16:00,유기견보호센터/쉼터,경남,양산 사랑이네 쉼터,1035632238
159,2026-09-07 12:16:01,유기견보호센터/쉼터,울산,울산 미미보호소,1089254905
160,2026-09-07 12:16:01,유기견보호센터/쉼터,울산,울산 별이네 보호소,1067046756
