권역,시군구,약국명,약사직통휴대폰,일반전화,도로명주소,특화분야,데이터출처
경기,김포시,하나온누리약국(김포),010-2699-6503,,경기 김포시 김포한강8로 165,홍익메디케어 공식거래처 (동물약품 3종 보유),홍익메디케어(HKMEDI)
경기,남양주시,인생약국,010-6461-8275,,경기 남양주시 수동면 남가로 1588-1,홍익메디케어 공식거래처 (동물약품 30종 보유),홍익메디케어(HKMEDI)
경기,남양주시,진접서울동물약국(아침약국),010-4204-4321,031-574-4321,경기도 남양주시 진접읍 금강로1573번길 9,경기북부 대형 동물약국,대한동물약국협회/약사직통
경기,부천시,단골약국,010-2327-2111,,경기 부천시 소사로 758,홍익메디케어 공식거래처 (동물약품 2종 보유),홍익메디케어(HKMEDI)
경기,부천시,역곡튼튼약국,010-3976-7717,,경기 부천시 소사구 경인로 507,홍익메디케어 공식거래처 (동물약품 8종 보유),홍익메디케어(HKMEDI)
경기,성남시,판교풀잎약국,010-7666-8973,,경기 성남시 수정구 창업로 17,홍익메디케어 공식거래처 (동물약품 4종 보유),홍익메디케어(HKMEDI)
경기,수원시,공감약국(영통),010-9464-4568,,경기 수원시 영통구 덕영대로 1470,홍익메디케어 공식거래처 (동물약품 21종 보유),홍익메디케어(HKMEDI)
경기,수원시,영통미루약국,010-7392-7693,,경기 수원시 영통구 봉영로 1612,홍익메디케어 공식거래처 (동물약품 17종 보유),홍익메디케어(HKMEDI)
경기,수원시,참약사순수약국,010-9744-9787,,경기 수원시 영통구 에듀타운로 102,홍익메디케어 공식거래처 (동물약품 8종 보유),홍익메디케어(HKMEDI)
경기,안산시,건강이열리는약국,010-6464-7889,031-401-7889,경기도 안산시 단원구 선부광장1로 38 (선부동),문자 1:1 복약상담 전문,대한동물약국협회/약사직통
경기,안산시,정다운약국(안산),010-4341-3650,,경기 안산시 상록구 반석로 118,홍익메디케어 공식거래처 (동물약품 48종 보유),홍익메디케어(HKMEDI)
경기,안산시,홍약국(고잔),010-5051-4379,,경기 안산시 단원구 광덕3로 167,홍익메디케어 공식거래처 (동물약품 29종 보유),홍익메디케어(HKMEDI)
경기,안양시,365스마일약국,010-9062-1496,,경기 안양시 동안구 평촌대로217번길 27 백두프라자 (경기도 안양시 동안구 호계동 1049,홍익메디케어 공식거래처 (동물약품 6종 보유),홍익메디케어(HKMEDI)
경기,안양시,365올바른약국,010-4068-7660,031-469-7660,경기도 안양시 만안구 태평로52번길 21 (안양동),365일 야간 동물약국 운영,대한동물약국협회/약사직통
경기,안양시,라라약국(안양),010-5924-9777,,경기 안양시 동안구 동안로 120,홍익메디케어 공식거래처 (동물약품 6종 보유),홍익메디케어(HKMEDI)
경기,양주시,대성약국(양주),010-4649-3605,,경기 양주시 광적면 가래비12길 10,홍익메디케어 공식거래처 (동물약품 5종 보유),홍익메디케어(HKMEDI)
경기,용인시,나은약국(용인),010-9906-9765,,경기 용인시 수지구 풍덕천동 1080-2,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
경기,이천시,산림약국,010-2826-7202,,경기 이천시 중리천로72번길 2 1층 산림약국,홍익메디케어 공식거래처 (동물약품 4종 보유),홍익메디케어(HKMEDI)
경기,평택시,봄날약국(평택),010-5355-8799,,경기 평택시 영신2길 87,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
경기,평택시,평택녹십자동물약국,010-2145-3307,031-652-3307,경기도 평택시 평택로 65 (평택동),동물약국협회 임원 약국,대한동물약국협회/약사직통
경기,화성시,나무약국(화성),010-3034-8997,,경기 화성시 동탄대로시범길 148-14,홍익메디케어 공식거래처 (동물약품 18종 보유),홍익메디케어(HKMEDI)
경기,화성시,동탄365약국,010-2012-0038,,경기 화성시 동탄대로4길 47,홍익메디케어 공식거래처 (동물약품 12종 보유),홍익메디케어(HKMEDI)
인천,계양구,보배약국(계양),010-3477-3156,,인천 계양구 봉오대로 659,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
인천,계양구,인천시민약국,010-2763-3764,,인천 계양구 계양대로 206,홍익메디케어 공식거래처 (동물약품 80종 보유),홍익메디케어(HKMEDI)
인천,미추홀구,구름약국(인천),010-7443-4170,,인천 미추홀구 숙골로87번길 5,홍익메디케어 공식거래처 (동물약품 4종 보유),홍익메디케어(HKMEDI)
인천,부평구,성모바로약국,010-7619-8280,,인천 부평구 동수로 57-1,홍익메디케어 공식거래처 (동물약품 3종 보유),홍익메디케어(HKMEDI)
인천,부평구,소망약국(부평),010-7414-6618,,인천 부평구 열우물로 45,홍익메디케어 공식거래처 (동물약품 12종 보유),홍익메디케어(HKMEDI)
인천,서구,두리약국,010-4482-2253,,인천 서구 청라커낼로260번길 11,홍익메디케어 공식거래처 (동물약품 2종 보유),홍익메디케어(HKMEDI)
인천,서구,블루팜약국,010-9492-2248,,인천 서구 중봉대로 610,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
부산,부산진구,사나약국,010-6602-0837,,부산 부산진구 중앙대로 701,홍익메디케어 공식거래처 (동물약품 20종 보유),홍익메디케어(HKMEDI)
부산,해운대구,내몸에좋은약국,010-2243-9448,,부산 해운대구 재반로 176,홍익메디케어 공식거래처 (동물약품 2종 보유),홍익메디케어(HKMEDI)
부산,해운대구,센텀시티역아우라약국,010-2135-2100,,부산 해운대구 센텀남대로 지하 76,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
대구,남구,팔공산약국,010-8024-8078,,대구 남구 대명로 125,홍익메디케어 공식거래처 (동물약품 10종 보유),홍익메디케어(HKMEDI)
대구,달서구,마을약국(김),010-2165-7558,,대구 달서구 두류남길 78,홍익메디케어 공식거래처 (동물약품 27종 보유),홍익메디케어(HKMEDI)
대구,달성군,화원우정약국,010-2934-9055,,대구 달성군 화원읍 비슬로 2595,홍익메디케어 공식거래처 (동물약품 19종 보유),홍익메디케어(HKMEDI)
대구,북구,즐거운약국(대구),010-2380-2996,,대구 북구 팔달로 149,홍익메디케어 공식거래처 (동물약품 6종 보유),홍익메디케어(HKMEDI)
대구,서구,평리제일약국&초코동물약국,010-3083-2595,053-565-2595,대구광역시 서구 서대구로 192 (평리동),대구 대표 동물약국 블로그,대한동물약국협회/약사직통
대전,유성구,송강태평양약국,010-3039-1563,,대전 유성구 구즉로 84,홍익메디케어 공식거래처 (동물약품 30종 보유),홍익메디케어(HKMEDI)
대전,중구,고려약국(대전),010-2792-2155,,대전 중구 계백로 1592,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
광주,광산구,선운포도약국,010-2120-0031,062-941-0031,광주광역시 광산구 선운중앙로 46 (선암동),카카오톡 1:1 상담약국,대한동물약국협회/약사직통
광주,광산구,영광통약국 멍냥동물약국,010-9221-9415,062-944-9415,광주광역시 광산구 상무대로 252 (송정동),광주 대표 멍냥동물약국,대한동물약국협회/약사직통
경남,김해시,정성약국(김해),010-2971-5060,,경남 김해시 김해대로 2232,홍익메디케어 공식거래처 (동물약품 46종 보유),홍익메디케어(HKMEDI)
경남,양산시,포도약국(구.경희약국),010-2600-8595,,경남 양산시 동면 내송큰들로 16,홍익메디케어 공식거래처 (동물약품 10종 보유),홍익메디케어(HKMEDI)
경북,경산시,으뜸약국(경산),010-8974-1133,,경북 경산시 대학로 23,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
경북,김천시,아포동물약국,010-7749-7115,,경북 김천시 아포읍 한지2길 10,홍익메디케어 공식거래처 (동물약품 93종 보유),홍익메디케어(HKMEDI)
경북,포항시,라라약국(포항),010-7169-6569,,경북 포항시 북구 새천년대로 1149,홍익메디케어 공식거래처 (동물약품 3종 보유),홍익메디케어(HKMEDI)
충북,청주시,늘봄동물약국,010-3233-7800,043-277-7800,충청북도 청주시 서원구 사직대로 248 (사직동),청주 고려동물병원 옆 동물약국,대한동물약국협회/약사직통
전남,목포시,365 청호큰약국,010-9679-0923,,전남 목포시 옥암로 200,홍익메디케어 공식거래처 (동물약품 9종 보유),홍익메디케어(HKMEDI)
강원,강릉시,하나로약국(강릉),010-4883-0439,,강원 강릉시 연곡면 진고개로 2742,홍익메디케어 공식거래처 (동물약품 61종 보유),홍익메디케어(HKMEDI)
강원,철원군,철원온누리약국,010-8994-0061,,강원 철원군 동송읍 금학로 223,홍익메디케어 공식거래처 (동물약품 16종 보유),홍익메디케어(HKMEDI)
강원,춘천시,365약국(춘천),010-8427-7371,,강원 춘천시 방송길 84,홍익메디케어 공식거래처 (동물약품 1종 보유),홍익메디케어(HKMEDI)
강원,춘천시,맑은온누리약국(춘천),010-2562-2051,,강원 춘천시 중앙로 116,홍익메디케어 공식거래처 (동물약품 19종 보유),홍익메디케어(HKMEDI)
