순번,발송일시,분류,권역,상호및기관명,수신번호,발송성공,HTTP코드,결과코드,결과메시지,msg_id
44,2026-09-08 16:36:30,펫샵/분양샵,부산,퍼피몰리 부산본점,01033485245,True,200,1,success,1445218320
45,2026-09-08 16:36:31,펫샵/분양샵,부산,라온캣 부산수영점,01022666373,True,200,1,success,1445218334
46,2026-09-08 16:36:32,펫샵/분양샵,대구,미유펫 대구점,01072740075,True,200,1,success,1445218344
47,2026-09-08 16:36:33,펫샵/분양샵,대구,테디럽 대구점,01032594059,True,200,1,success,1445218355
48,2026-09-08 16:36:34,펫샵/분양샵,대구,라온캣 대구직영점,01073893028,True,200,1,success,1445218368
49,2026-09-08 16:36:34,펫샵/분양샵,울산,미유펫 울산점,01026442565,True,200,1,success,1445218393
50,2026-09-08 16:36:35,펫샵/분양샵,경남,창원 똥강아지,01039997882,True,200,1,success,1445218409
51,2026-09-08 16:36:36,펫샵/분양샵,경북,우리펫 포항점,01049327359,True,200,1,success,1445218424
52,2026-09-08 16:36:37,펫샵/분양샵,대전,애니멀즈 대전본점,01055978249,True,200,1,success,1445218435
53,2026-09-08 16:36:38,펫샵/분양샵,대전,홍스퍼피 대전본점,01034999512,True,200,1,success,1445218445
54,2026-09-08 16:36:39,펫샵/분양샵,대전,라온캣 대전본점,01083793028,True,200,1,success,1445218458
55,2026-09-08 16:36:40,펫샵/분양샵,대전,더펫 대전유성점,01084697444,True,200,1,success,1445218470
56,2026-09-08 16:36:41,펫샵/분양샵,충남,퍼피댕 천안점,01072853233,True,200,1,success,1445218475
57,2026-09-08 16:36:41,펫샵/분양샵,충남,드림독 천안불당점,01082374410,True,200,1,success,1445218480
58,2026-09-08 16:36:42,펫샵/분양샵,충북,퍼피댕 청주점,01072744411,True,200,1,success,1445218489
59,2026-09-08 16:36:43,펫샵/분양샵,충북,한국동물보육원 청주지부,01042113245,True,200,1,success,1445218501
60,2026-09-08 16:36:43,펫샵/분양샵,광주,아이러브독 광주점,01031431700,True,200,1,success,1445218511
61,2026-09-08 16:36:44,펫샵/분양샵,광주,미유펫 광주점,01025606776,True,200,1,success,1445218522
62,2026-09-08 16:36:45,펫샵/분양샵,전북,미니퍼피 전주점,01045751284,True,200,1,success,1445218538
63,2026-09-08 16:36:45,펫샵/분양샵,강원,착한애견분양 원주본점,01086974363,True,200,1,success,1445218547
64,2026-09-08 16:36:46,펫샵/분양샵,강원,노이펫 원주점,01071337034,True,200,1,success,1445218554
65,2026-09-08 16:36:47,펫샵/분양샵,강원,컴투펫 원주점,01074953111,True,200,1,success,1445218556
66,2026-09-08 16:36:48,펫샵/분양샵,제주,제주 요미독앤캣,01071929897,True,200,1,success,1445218575
67,2026-09-08 16:36:49,동물약국,서울,개나리봄약국,01071502800,True,200,1,success,1445218589
68,2026-09-08 16:36:49,동물약국,서울,은온누리약국,01098300640,True,200,1,success,1445218593
69,2026-09-08 16:36:50,동물약국,서울,강동천사약국,01023593974,True,200,1,success,1445218601
70,2026-09-08 16:36:52,동물약국,서울,열린창약국(자양동구의열린동물약국),01043511905,True,200,1,success,1445218619
71,2026-09-08 16:36:52,동물약국,서울,서울동물약국(구로),01086775370,True,200,1,success,1445218624
72,2026-09-08 16:36:53,동물약국,서울,광주약국(동작),01048364547,True,200,1,success,1445218633
73,2026-09-08 16:36:54,동물약국,서울,셀약국(마포),01044777959,True,200,1,success,1445218639
74,2026-09-08 16:36:54,동물약국,서울,휴베이스 이안약국,01034235447,True,200,1,success,1445218647
75,2026-09-08 16:36:55,동물약국,서울,이화프라자약국,01091422053,True,200,1,success,1445218660
76,2026-09-08 16:36:56,동물약국,서울,신트리약국,01064432676,True,200,1,success,1445218666
77,2026-09-08 16:36:56,동물약국,서울,365백화점온누리약국,01039718811,True,200,1,success,1445218675
78,2026-09-08 16:36:57,동물약국,서울,은평일등약국,01056071415,True,200,1,success,1445218684
79,2026-09-08 16:36:58,동물약국,서울,종로엔약국,01043299848,True,200,1,success,1445218690
80,2026-09-08 16:36:59,동물약국,서울,파란문약국(종로동물약국),01098806209,True,200,1,success,1445218705
81,2026-09-08 16:36:59,동물약국,서울,1898광장약국,01065645637,True,200,1,success,1445218713
82,2026-09-08 16:37:00,동물약국,서울,명동뷰티랩약국,01096243347,True,200,1,success,1445218719
83,2026-09-08 16:37:01,동물약국,서울,보룡약국(중랑),01084307369,True,200,1,success,1445218725
84,2026-09-08 16:37:01,동물약국,경기,건강드림약국(고양),01054136478,True,200,1,success,1445218743
85,2026-09-08 16:37:03,동물약국,경기,꼼꼼약국,01046391077,True,200,1,success,1445218771
86,2026-09-08 16:37:05,동물약국,경기,하나온누리약국(김포),01026996503,True,200,1,success,1445218784
87,2026-09-08 16:37:05,동물약국,경기,인생약국,01064618275,True,200,1,success,1445218808
88,2026-09-08 16:37:06,동물약국,경기,진접서울동물약국(아침약국),01042044321,True,200,1,success,1445218823
89,2026-09-08 16:37:07,동물약국,경기,단골약국,01023272111,True,200,1,success,1445218839
90,2026-09-08 16:37:07,동물약국,경기,역곡튼튼약국,01039767717,True,200,1,success,1445218855
91,2026-09-08 16:37:08,동물약국,경기,판교풀잎약국,01076668973,True,200,1,success,1445218868
92,2026-09-08 16:37:09,동물약국,경기,공감약국(영통),01094644568,True,200,1,success,1445218879
93,2026-09-08 16:37:09,동물약국,경기,영통미루약국,01073927693,True,200,1,success,1445218891
94,2026-09-08 16:37:10,동물약국,경기,참약사순수약국,01097449787,True,200,1,success,1445218900
95,2026-09-08 16:37:11,동물약국,경기,건강이열리는약국,01064647889,True,200,1,success,1445218910
96,2026-09-08 16:37:11,동물약국,경기,정다운약국(안산),01043413650,True,200,1,success,1445218923
97,2026-09-08 16:37:12,동물약국,경기,홍약국(고잔),01050514379,True,200,1,success,1445218937
98,2026-09-08 16:37:13,동물약국,경기,365스마일약국,01090621496,True,200,1,success,1445218943
99,2026-09-08 16:37:13,동물약국,경기,365올바른약국,01040687660,True,200,1,success,1445218953
100,2026-09-08 16:37:14,동물약국,경기,라라약국(안양),01059249777,True,200,1,success,1445218959
101,2026-09-08 16:37:15,동물약국,경기,대성약국(양주),01046493605,True,200,1,success,1445218972
102,2026-09-08 16:37:15,동물약국,경기,나은약국(용인),01099069765,True,200,1,success,1445218978
103,2026-09-08 16:37:16,동물약국,경기,산림약국,01028267202,True,200,1,success,1445218990
104,2026-09-08 16:37:16,동물약국,경기,봄날약국(평택),01053558799,True,200,1,success,1445218999
105,2026-09-08 16:37:18,동물약국,경기,평택녹십자동물약국,01021453307,True,200,1,success,1445219011
106,2026-09-08 16:37:20,동물약국,경기,나무약국(화성),01030348997,True,200,1,success,1445219034
107,2026-09-08 16:37:21,동물약국,경기,동탄365약국,01020120038,True,200,1,success,1445219049
108,2026-09-08 16:37:22,동물약국,인천,보배약국(계양),01034773156,True,200,1,success,1445219060
109,2026-09-08 16:37:23,동물약국,인천,인천시민약국,01027633764,True,200,1,success,1445219091
110,2026-09-08 16:37:24,동물약국,인천,구름약국(인천),01074434170,True,200,1,success,1445219115
111,2026-09-08 16:37:25,동물약국,인천,성모바로약국,01076198280,True,200,1,success,1445219128
112,2026-09-08 16:37:25,동물약국,인천,소망약국(부평),01074146618,True,200,1,success,1445219136
113,2026-09-08 16:37:26,동물약국,인천,두리약국,01044822253,True,200,1,success,1445219140
114,2026-09-08 16:37:27,동물약국,인천,블루팜약국,01094922248,True,200,1,success,1445219154
115,2026-09-08 16:37:28,동물약국,부산,사나약국,01066020837,True,200,1,success,1445219172
116,2026-09-08 16:37:29,동물약국,부산,내몸에좋은약국,01022439448,True,200,1,success,1445219179
117,2026-09-08 16:37:29,동물약국,부산,센텀시티역아우라약국,01021352100,True,200,1,success,1445219186
118,2026-09-08 16:37:30,동물약국,대구,팔공산약국,01080248078,True,200,1,success,1445219196
119,2026-09-08 16:37:31,동물약국,대구,마을약국(김),01021657558,True,200,1,success,1445219221
120,2026-09-08 16:37:32,동물약국,대구,화원우정약국,01029349055,True,200,1,success,1445219232
121,2026-09-08 16:37:34,동물약국,대구,즐거운약국(대구),01023802996,True,200,1,success,1445219272
122,2026-09-08 16:37:35,동물약국,대구,평리제일약국&초코동물약국,01030832595,True,200,1,success,1445219277
123,2026-09-08 16:37:36,동물약국,대전,송강태평양약국,01030391563,True,200,1,success,1445219293
124,2026-09-08 16:37:37,동물약국,대전,고려약국(대전),01027922155,True,200,1,success,1445219303
125,2026-09-08 16:37:38,동물약국,광주,선운포도약국,01021200031,True,200,1,success,1445219314
126,2026-09-08 16:37:38,동물약국,광주,영광통약국 멍냥동물약국,01092219415,True,200,1,success,1445219323
127,2026-09-08 16:37:40,동물약국,경남,정성약국(김해),01029715060,True,200,1,success,1445219346
128,2026-09-08 16:37:40,동물약국,경남,포도약국(구.경희약국),01026008595,True,200,1,success,1445219355
129,2026-09-08 16:37:41,동물약국,경북,으뜸약국(경산),01089741133,True,200,1,success,1445219369
130,2026-09-08 16:37:42,동물약국,경북,아포동물약국,01077497115,True,200,1,success,1445219384
131,2026-09-08 16:37:42,동물약국,경북,라라약국(포항),01071696569,True,200,1,success,1445219402
132,2026-09-08 16:37:43,동물약국,충북,늘봄동물약국,01032337800,True,200,1,success,1445219411
133,2026-09-08 16:37:47,동물약국,전남,365 청호큰약국,01096790923,True,200,1,success,1445219491
134,2026-09-08 16:37:57,동물약국,강원,하나로약국(강릉),01048830439,True,200,1,success,1445219681
135,2026-09-08 16:37:58,동물약국,강원,철원온누리약국,01089940061,True,200,1,success,1445219706
136,2026-09-08 16:37:58,동물약국,강원,365약국(춘천),01084277371,True,200,1,success,1445219723
137,2026-09-08 16:37:59,동물약국,강원,맑은온누리약국(춘천),01025622051,True,200,1,success,1445219749
138,2026-09-08 16:38:00,유기견보호센터/쉼터,서울,또리네 쉼터,01027787385,True,200,1,success,1445219768
139,2026-09-08 16:38:01,유기견보호센터/쉼터,서울,또리네 쉼터 (부소장),01082682272,True,200,1,success,1445219779
140,2026-09-08 16:38:01,유기견보호센터/쉼터,서울,동물과 함께 행복한 세상 (발라당 쉼터),01088636277,True,200,1,success,1445219789
141,2026-09-08 16:38:02,유기견보호센터/쉼터,서울,동물과 함께 행복한 세상 (구호팀),01026881019,True,200,1,success,1445219802
142,2026-09-08 16:38:03,유기견보호센터/쉼터,인천,행진돌봄터 (행진 쉼터),01076684494,True,200,1,success,1445219820
143,2026-09-08 16:38:05,유기견보호센터/쉼터,경기,시작 유기견 보호소,01034674077,True,200,1,success,1445219847
144,2026-09-08 16:38:06,유기견보호센터/쉼터,경기,평택 콜리하우스 쉼터,01075975977,True,200,1,success,1445219864
145,2026-09-08 16:38:06,유기견보호센터/쉼터,경기,마석 유기견묘 보호소,01027672075,True,200,1,success,1445219877
146,2026-09-08 16:38:07,유기견보호센터/쉼터,경기,꽁꽁이네 유기견 쉼터,01045631589,True,200,1,success,1445219886
147,2026-09-08 16:38:08,유기견보호센터/쉼터,경기,반달이네 유기견 쉼터,01083759505,True,200,1,success,1445219892
148,2026-09-08 16:38:08,유기견보호센터/쉼터,경기,유기견숲 (ALPA 쉼터),01052139151,True,200,1,success,1445219912
149,2026-09-08 16:38:13,유기견보호센터/쉼터,경기,사단법인 다시봄 (룽지네 쉼터),01057278665,True,200,1,success,1445219972
150,2026-09-08 16:38:13,유기견보호센터/쉼터,경기,생명공감 보듬센터,01075074504,True,200,1,success,1445219982
151,2026-09-08 16:38:16,유기견보호센터/쉼터,대전,시온쉼터,01039396036,True,200,1,success,1445220014
152,2026-09-08 16:38:17,유기견보호센터/쉼터,충남,시흥엔젤홈 유기견보호소,01033337675,True,200,1,success,1445220032
153,2026-09-08 16:38:17,유기견보호센터/쉼터,전북,별빛 유기견 지킴이,01041371009,True,200,1,success,1445220048
154,2026-09-08 16:38:18,유기견보호센터/쉼터,대구,대구 호루라기 쉼터,01054641264,True,200,1,success,1445220062
155,2026-09-08 16:38:20,유기견보호센터/쉼터,대구,대구 경산아이들 쉼터,01026839008,True,200,1,success,1445220097
156,2026-09-08 16:38:21,유기견보호센터/쉼터,대구,대구 경산아이들 쉼터 (봉사팀),01048146688,True,200,1,success,1445220104
157,2026-09-08 16:38:21,유기견보호센터/쉼터,경북,상주시 동물보호센터 (임시쉼터),01066821198,True,200,1,success,1445220122
158,2026-09-08 16:38:22,유기견보호센터/쉼터,경남,양산 사랑이네 쉼터,01035632238,True,200,1,success,1445220128
159,2026-09-08 16:38:22,유기견보호센터/쉼터,울산,울산 미미보호소,01089254905,True,200,1,success,1445220139
160,2026-09-08 16:38:23,유기견보호센터/쉼터,울산,울산 별이네 보호소,01067046756,True,200,1,success,1445220153
