분류,권역,시군구,상호및기관명,담당자,휴대폰번호_010,일반전화,도로명주소,특화및비고,발송템플릿
펫샵/분양샵,경기,평택시,파라다이스펫 평택점,대표님,010-7200-0083,031-664-1010,경기도 평택시 송탄로 210,강아지 분양 및 호텔,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,평택시,드림독 안심분양센터 평택점,대표님,010-3592-7940,031-668-7955,경기도 평택시 송탄로 188,소형견 자견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,시흥시,모아펫 시흥본점,대표님,010-9584-8249,031-317-6885,경기도 시흥시 장곡로53번길 15,전국 안심 이동 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,고양시,퍼피에몽 일산점,대표님,010-5234-5670,031-814-7749,경기도 고양시 일산동구 무궁화로181번길 34,자견 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,고양시,더펫 일산점,대표님,010-3458-0430,031-919-8910,경기도 고양시 일산서구 대화동 2222,애견 분양 및 호텔,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,고양시,라펫 일산점,대표님,010-5916-8546,031-979-9798,경기도 고양시 덕양구 서정마을로 2,소형견/특수견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,파주시,동물보육원 파주지부,대표님,010-8429-9572,031-944-5575,경기도 파주시 교하로 45,가정견 및 자견 입양센터,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,파주시,유어펫라운지 파주점,대표님,010-6619-2225,031-946-3999,경기도 파주시 산내로7번길 20-30,프리미엄 애견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,남양주시,도그캐슬 남양주다산점,대표님,010-5799-2277,031-552-7978,경기도 남양주시 다산순환로 212,포메라니안/푸들 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,구리시,스타트독 구리점,대표님,010-5782-0703,031-555-8666,경기도 구리시 체육관로 149,애견 분양 및 호텔,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,구리시,요미독 구리점,대표님,010-2378-4101,031-557-6767,경기도 구리시 장자대로86번길 18,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,의정부시,요미독 의정부점,대표님,010-2708-2519,031-846-8255,경기도 의정부시 호국로 1319,반려동물 안심 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,하남시,착한애견분양 하남직영점,대표님,010-2814-7457,031-792-5956,경기도 하남시 미사강변중앙로 218,자견 전문 안심 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,하남시,하남 멍앤냥,대표님,010-5802-8047,031-793-6359,경기도 하남시 신장동로 68,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,용인시,펫퍼스트 용인점,대표님,010-6725-8687,031-275-8833,경기도 용인시 기흥구 동백중앙로 283,자견 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,용인시,정순정 켄넬 용인,대표님,010-4864-5937,031-321-3322,경기도 용인시 처인구 양지읍 죽양대로 2043,말티푸/비숑 전문 켄넬,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경기,광주시,알로하펍앤코 경기광주,대표님,010-7677-1281,031-726-4800,경기도 광주시 신현동 태재로 45,강아지 분양 및 호텔,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,부산,연제구,미유펫 부산본점,대표님,010-9384-8944,051-851-0011,부산광역시 연제구 거제대로 70,자견 전문 대형 안심 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,부산,부산진구,퍼피몰리 부산본점,대표님,010-3348-5245,051-808-5245,부산광역시 부산진구 중앙대로 680,프리미엄 자견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,부산,수영구,라온캣 부산수영점,대표님,010-2266-6373,051-757-6373,부산광역시 수영구 수영로 580,고양이 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,대구,중구,미유펫 대구점,대표님,010-7274-0075,053-255-0075,대구광역시 중구 달구벌대로 2120,강아지/고양이 안심 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,대구,수성구,테디럽 대구점,대표님,010-3259-4059,053-768-4059,대구광역시 수성구 동대구로 311,토이푸들/비숑 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,대구,동구,라온캣 대구직영점,대표님,010-7389-3028,053-955-3028,대구광역시 동구 동대구로 450,고양이 전문 분양샵,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,울산,남구,미유펫 울산점,대표님,010-2644-2565,052-260-2565,울산광역시 남구 삼산로 123,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경남,창원시,창원 똥강아지,대표님,010-3999-7882,055-285-7882,경상남도 창원시 성산구 원이대로 682,소형견 전문 안심 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,경북,포항시,우리펫 포항점,대표님,010-4932-7359,054-281-7359,경상북도 포항시 북구 중흥로 115,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,대전,유성구,애니멀즈 대전본점,대표님,010-5597-8249,042-825-8249,대전광역시 유성구 온천북로 33,안심 자견 분양 및 호텔,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,대전,서구,홍스퍼피 대전본점,대표님,010-3499-9512,042-488-9512,대전광역시 서구 계룡로 553,강아지 프리미엄 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,대전,중구,라온캣 대전본점,대표님,010-8379-3028,042-226-3028,대전광역시 중구 중앙로 102,고양이 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,대전,유성구,더펫 대전유성점,대표님,010-8469-7444,042-824-7444,대전광역시 유성구 대학로 80,애견 분양 및 케어,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,충남,천안시,퍼피댕 천안점,대표님,010-7285-3233,041-555-3233,충청남도 천안시 서북구 쌍용대로 189,소형견 안심 자견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,충남,천안시,드림독 천안불당점,대표님,010-8237-4410,041-566-4410,충청남도 천안시 서북구 불당33길 15,안심 강아지 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,충북,청주시,퍼피댕 청주점,대표님,010-7274-4411,043-233-4411,충청북도 청주시 흥덕구 가로수로 1320,자견 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,충북,청주시,한국동물보육원 청주지부,대표님,010-4211-3245,043-267-3245,충청북도 청주시 서원구 사직대로 180,가정견 입양 및 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,광주,서구,아이러브독 광주점,대표님,010-3143-1700,062-385-1700,광주광역시 서구 상무중앙로 78,강아지/고양이 전문 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,광주,북구,미유펫 광주점,대표님,010-2560-6776,062-525-6776,광주광역시 북구 설죽로 245,안심 자견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,전북,전주시,미니퍼피 전주점,대표님,010-4575-1284,063-228-1284,전북특별자치도 전주시 완산구 홍산중앙로 45,소형견 자견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,강원,원주시,착한애견분양 원주본점,대표님,010-8697-4363,033-766-4363,강원특별자치도 원주시 서원대로 120,강아지/고양이 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,강원,원주시,노이펫 원주점,대표님,010-7133-7034,033-745-7034,강원특별자치도 원주시 천사로 210,자견 전문 케어 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,강원,원주시,컴투펫 원주점,대표님,010-7495-3111,033-734-3111,강원특별자치도 원주시 북원로 2450,소형견 분양,PetShop_B2B_LMS_Template.txt
펫샵/분양샵,제주,제주시,제주 요미독앤캣,대표님,010-7192-9897,064-748-9897,제주특별자치도 제주시 노연로 85,제주 전역 안심 분양,PetShop_B2B_LMS_Template.txt
동물약국,서울,강남구,개나리봄약국,약사님,010-7150-2800,,서울 강남구 역삼로 310,홍익메디케어 공식거래처 (동물약품 10종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,강남구,은온누리약국,약사님,010-9830-0640,,서울 강남구 학동로 224,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,강동구,강동천사약국,약사님,010-2359-3974,,서울 강동구 올림픽로 806,홍익메디케어 공식거래처 (동물약품 22종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,광진구,열린창약국(자양동구의열린동물약국),약사님,010-4351-1905,,서울 광진구 자양로13길 19,홍익메디케어 공식거래처 (동물약품 27종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,구로구,서울동물약국(구로),약사님,010-8677-5370,02-857-5370,서울특별시 구로구 구로동로 225 (구로동),동물약국협회 정회원,Pharmacy_B2B_LMS_Template.txt
동물약국,서울,동작구,광주약국(동작),약사님,010-4836-4547,,서울 동작구 동작대로 127,홍익메디케어 공식거래처 (동물약품 12종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,마포구,셀약국(마포),약사님,010-4477-7959,,서울 마포구 양화로 72,홍익메디케어 공식거래처 (동물약품 19종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,서초구,휴베이스 이안약국,약사님,010-3423-5447,,서울 서초구 신반포로 205,홍익메디케어 공식거래처 (동물약품 2종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,성북구,이화프라자약국,약사님,010-9142-2053,,서울 성북구 보국문로 50,홍익메디케어 공식거래처 (동물약품 30종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,양천구,신트리약국,약사님,010-6443-2676,,서울 양천구 신정로 312,홍익메디케어 공식거래처 (동물약품 9종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,은평구,365백화점온누리약국,약사님,010-3971-8811,,서울 은평구 연서로 257,홍익메디케어 공식거래처 (동물약품 2종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,은평구,은평일등약국,약사님,010-5607-1415,,서울 은평구 은평로 56,홍익메디케어 공식거래처 (동물약품 3종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,종로구,종로엔약국,약사님,010-4329-9848,,서울 종로구 종로 65,홍익메디케어 공식거래처 (동물약품 9종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,종로구,파란문약국(종로동물약국),약사님,010-9880-6209,02-730-6209,서울특별시 종로구 송월길 155 (교북동),동물약품 전용 상담코너,Pharmacy_B2B_LMS_Template.txt
동물약국,서울,중구,1898광장약국,약사님,010-6564-5637,,서울 중구 명동길 74,홍익메디케어 공식거래처 (동물약품 28종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,중구,명동뷰티랩약국,약사님,010-9624-3347,,서울 중구 명동10길 35-3,홍익메디케어 공식거래처 (동물약품 5종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,서울,중랑구,보룡약국(중랑),약사님,010-8430-7369,,서울 중랑구 공릉로2길 8-4,홍익메디케어 공식거래처 (동물약품 6종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,고양시,건강드림약국(고양),약사님,010-5413-6478,,경기 고양시 덕양구 도래울로 52,홍익메디케어 공식거래처 (동물약품 3종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,광주시,꼼꼼약국,약사님,010-4639-1077,,경기 광주시 광주대로 52,홍익메디케어 공식거래처 (동물약품 6종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,김포시,하나온누리약국(김포),약사님,010-2699-6503,,경기 김포시 김포한강8로 165,홍익메디케어 공식거래처 (동물약품 3종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,남양주시,인생약국,약사님,010-6461-8275,,경기 남양주시 수동면 남가로 1588-1,홍익메디케어 공식거래처 (동물약품 30종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,남양주시,진접서울동물약국(아침약국),약사님,010-4204-4321,031-574-4321,경기도 남양주시 진접읍 금강로1573번길 9,경기북부 대형 동물약국,Pharmacy_B2B_LMS_Template.txt
동물약국,경기,부천시,단골약국,약사님,010-2327-2111,,경기 부천시 소사로 758,홍익메디케어 공식거래처 (동물약품 2종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,부천시,역곡튼튼약국,약사님,010-3976-7717,,경기 부천시 소사구 경인로 507,홍익메디케어 공식거래처 (동물약품 8종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,성남시,판교풀잎약국,약사님,010-7666-8973,,경기 성남시 수정구 창업로 17,홍익메디케어 공식거래처 (동물약품 4종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,수원시,공감약국(영통),약사님,010-9464-4568,,경기 수원시 영통구 덕영대로 1470,홍익메디케어 공식거래처 (동물약품 21종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,수원시,영통미루약국,약사님,010-7392-7693,,경기 수원시 영통구 봉영로 1612,홍익메디케어 공식거래처 (동물약품 17종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,수원시,참약사순수약국,약사님,010-9744-9787,,경기 수원시 영통구 에듀타운로 102,홍익메디케어 공식거래처 (동물약품 8종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,안산시,건강이열리는약국,약사님,010-6464-7889,031-401-7889,경기도 안산시 단원구 선부광장1로 38 (선부동),문자 1:1 복약상담 전문,Pharmacy_B2B_LMS_Template.txt
동물약국,경기,안산시,정다운약국(안산),약사님,010-4341-3650,,경기 안산시 상록구 반석로 118,홍익메디케어 공식거래처 (동물약품 48종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,안산시,홍약국(고잔),약사님,010-5051-4379,,경기 안산시 단원구 광덕3로 167,홍익메디케어 공식거래처 (동물약품 29종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,안양시,365스마일약국,약사님,010-9062-1496,,경기 안양시 동안구 평촌대로217번길 27 백두프라자 (경기도 안양시 동안구 호계동 1049,홍익메디케어 공식거래처 (동물약품 6종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,안양시,365올바른약국,약사님,010-4068-7660,031-469-7660,경기도 안양시 만안구 태평로52번길 21 (안양동),365일 야간 동물약국 운영,Pharmacy_B2B_LMS_Template.txt
동물약국,경기,안양시,라라약국(안양),약사님,010-5924-9777,,경기 안양시 동안구 동안로 120,홍익메디케어 공식거래처 (동물약품 6종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,양주시,대성약국(양주),약사님,010-4649-3605,,경기 양주시 광적면 가래비12길 10,홍익메디케어 공식거래처 (동물약품 5종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,용인시,나은약국(용인),약사님,010-9906-9765,,경기 용인시 수지구 풍덕천동 1080-2,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,이천시,산림약국,약사님,010-2826-7202,,경기 이천시 중리천로72번길 2 1층 산림약국,홍익메디케어 공식거래처 (동물약품 4종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,평택시,봄날약국(평택),약사님,010-5355-8799,,경기 평택시 영신2길 87,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,평택시,평택녹십자동물약국,약사님,010-2145-3307,031-652-3307,경기도 평택시 평택로 65 (평택동),동물약국협회 임원 약국,Pharmacy_B2B_LMS_Template.txt
동물약국,경기,화성시,나무약국(화성),약사님,010-3034-8997,,경기 화성시 동탄대로시범길 148-14,홍익메디케어 공식거래처 (동물약품 18종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경기,화성시,동탄365약국,약사님,010-2012-0038,,경기 화성시 동탄대로4길 47,홍익메디케어 공식거래처 (동물약품 12종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,인천,계양구,보배약국(계양),약사님,010-3477-3156,,인천 계양구 봉오대로 659,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,인천,계양구,인천시민약국,약사님,010-2763-3764,,인천 계양구 계양대로 206,홍익메디케어 공식거래처 (동물약품 80종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,인천,미추홀구,구름약국(인천),약사님,010-7443-4170,,인천 미추홀구 숙골로87번길 5,홍익메디케어 공식거래처 (동물약품 4종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,인천,부평구,성모바로약국,약사님,010-7619-8280,,인천 부평구 동수로 57-1,홍익메디케어 공식거래처 (동물약품 3종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,인천,부평구,소망약국(부평),약사님,010-7414-6618,,인천 부평구 열우물로 45,홍익메디케어 공식거래처 (동물약품 12종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,인천,서구,두리약국,약사님,010-4482-2253,,인천 서구 청라커낼로260번길 11,홍익메디케어 공식거래처 (동물약품 2종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,인천,서구,블루팜약국,약사님,010-9492-2248,,인천 서구 중봉대로 610,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,부산,부산진구,사나약국,약사님,010-6602-0837,,부산 부산진구 중앙대로 701,홍익메디케어 공식거래처 (동물약품 20종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,부산,해운대구,내몸에좋은약국,약사님,010-2243-9448,,부산 해운대구 재반로 176,홍익메디케어 공식거래처 (동물약품 2종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,부산,해운대구,센텀시티역아우라약국,약사님,010-2135-2100,,부산 해운대구 센텀남대로 지하 76,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,대구,남구,팔공산약국,약사님,010-8024-8078,,대구 남구 대명로 125,홍익메디케어 공식거래처 (동물약품 10종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,대구,달서구,마을약국(김),약사님,010-2165-7558,,대구 달서구 두류남길 78,홍익메디케어 공식거래처 (동물약품 27종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,대구,달성군,화원우정약국,약사님,010-2934-9055,,대구 달성군 화원읍 비슬로 2595,홍익메디케어 공식거래처 (동물약품 19종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,대구,북구,즐거운약국(대구),약사님,010-2380-2996,,대구 북구 팔달로 149,홍익메디케어 공식거래처 (동물약품 6종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,대구,서구,평리제일약국&초코동물약국,약사님,010-3083-2595,053-565-2595,대구광역시 서구 서대구로 192 (평리동),대구 대표 동물약국 블로그,Pharmacy_B2B_LMS_Template.txt
동물약국,대전,유성구,송강태평양약국,약사님,010-3039-1563,,대전 유성구 구즉로 84,홍익메디케어 공식거래처 (동물약품 30종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,대전,중구,고려약국(대전),약사님,010-2792-2155,,대전 중구 계백로 1592,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,광주,광산구,선운포도약국,약사님,010-2120-0031,062-941-0031,광주광역시 광산구 선운중앙로 46 (선암동),카카오톡 1:1 상담약국,Pharmacy_B2B_LMS_Template.txt
동물약국,광주,광산구,영광통약국 멍냥동물약국,약사님,010-9221-9415,062-944-9415,광주광역시 광산구 상무대로 252 (송정동),광주 대표 멍냥동물약국,Pharmacy_B2B_LMS_Template.txt
동물약국,경남,김해시,정성약국(김해),약사님,010-2971-5060,,경남 김해시 김해대로 2232,홍익메디케어 공식거래처 (동물약품 46종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경남,양산시,포도약국(구.경희약국),약사님,010-2600-8595,,경남 양산시 동면 내송큰들로 16,홍익메디케어 공식거래처 (동물약품 10종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경북,경산시,으뜸약국(경산),약사님,010-8974-1133,,경북 경산시 대학로 23,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경북,김천시,아포동물약국,약사님,010-7749-7115,,경북 김천시 아포읍 한지2길 10,[발송제외-번호변경] 홍익메디케어 공식거래처 (동물약품 93종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,경북,포항시,라라약국(포항),약사님,010-7169-6569,,경북 포항시 북구 새천년대로 1149,홍익메디케어 공식거래처 (동물약품 3종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,충북,청주시,늘봄동물약국,약사님,010-3233-7800,043-277-7800,충청북도 청주시 서원구 사직대로 248 (사직동),청주 고려동물병원 옆 동물약국,Pharmacy_B2B_LMS_Template.txt
동물약국,전남,목포시,365 청호큰약국,약사님,010-9679-0923,,전남 목포시 옥암로 200,홍익메디케어 공식거래처 (동물약품 9종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,강원,강릉시,하나로약국(강릉),약사님,010-4883-0439,,강원 강릉시 연곡면 진고개로 2742,홍익메디케어 공식거래처 (동물약품 61종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,강원,철원군,철원온누리약국,약사님,010-8994-0061,,강원 철원군 동송읍 금학로 223,홍익메디케어 공식거래처 (동물약품 16종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,강원,춘천시,365약국(춘천),약사님,010-8427-7371,,강원 춘천시 방송길 84,홍익메디케어 공식거래처 (동물약품 1종 보유),Pharmacy_B2B_LMS_Template.txt
동물약국,강원,춘천시,맑은온누리약국(춘천),약사님,010-2562-2051,,강원 춘천시 중앙로 116,홍익메디케어 공식거래처 (동물약품 19종 보유),Pharmacy_B2B_LMS_Template.txt
유기견보호센터/쉼터,서울,양천구,또리네 쉼터,소장,010-2778-7385,,서울 양천구,양천구 사설 유기견 쉼터 / 자원봉사·입양 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,서울,양천구,또리네 쉼터 (부소장),부소장,010-8268-2272,,서울 양천구,양천구 사설 유기견 쉼터 / 후원·구호 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,서울,마포구,동물과 함께 행복한 세상 (발라당 쉼터),입양팀장,010-8863-6277,,서울 마포구,발라당 입양센터 / 유기견 케어 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,서울,마포구,동물과 함께 행복한 세상 (구호팀),구호팀장,010-2688-1019,,서울 마포구,발라당 입양센터 / 긴급 구호 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,인천,계양구,행진돌봄터 (행진 쉼터),소장,010-7668-4494,,인천 계양구,계양구 유기견 돌봄 쉼터 / 봉사·후원 직통,Shelter_B2B_LMS_Template.txt
