권역,지역구,펫샵명,휴대폰번호,일반전화,도로명주소,업종상세
부산,부산진구,퍼피몰리 부산본점,010-3348-5245,051-808-5245,부산광역시 부산진구 중앙대로 680,프리미엄 자견 분양
부산,수영구,라온캣 부산수영점,010-2266-6373,051-757-6373,부산광역시 수영구 수영로 580,고양이 전문 분양
대구,중구,미유펫 대구점,010-7274-0075,053-255-0075,대구광역시 중구 달구벌대로 2120,강아지/고양이 안심 분양
대구,수성구,테디럽 대구점,010-3259-4059,053-768-4059,대구광역시 수성구 동대구로 311,토이푸들/비숑 전문 분양
대구,동구,라온캣 대구직영점,010-7389-3028,053-955-3028,대구광역시 동구 동대구로 450,고양이 전문 분양샵
울산,남구,미유펫 울산점,010-2644-2565,052-260-2565,울산광역시 남구 삼산로 123,강아지/고양이 분양
경남,창원시,창원 똥강아지,010-3999-7882,055-285-7882,경상남도 창원시 성산구 원이대로 682,소형견 전문 안심 분양
경북,포항시,우리펫 포항점,010-4932-7359,054-281-7359,경상북도 포항시 북구 중흥로 115,강아지/고양이 분양
대전,유성구,애니멀즈 대전본점,010-5597-8249,042-825-8249,대전광역시 유성구 온천북로 33,안심 자견 분양 및 호텔
대전,서구,홍스퍼피 대전본점,010-3499-9512,042-488-9512,대전광역시 서구 계룡로 553,강아지 프리미엄 분양
대전,중구,라온캣 대전본점,010-8379-3028,042-226-3028,대전광역시 중구 중앙로 102,고양이 전문 분양
대전,유성구,더펫 대전유성점,010-8469-7444,042-824-7444,대전광역시 유성구 대학로 80,애견 분양 및 케어
충남,천안시,퍼피댕 천안점,010-7285-3233,041-555-3233,충청남도 천안시 서북구 쌍용대로 189,소형견 안심 자견 분양
충남,천안시,착한애견분양 천안점,010-7200-0083,041-578-0083,충청남도 천안시 서북구 불당21로 67,프리미엄 자견 분양
충남,천안시,드림독 천안불당점,010-8237-4410,041-566-4410,충청남도 천안시 서북구 불당33길 15,안심 강아지 분양
충북,청주시,퍼피댕 청주점,010-7274-4411,043-233-4411,충청북도 청주시 흥덕구 가로수로 1320,자견 전문 분양
충북,청주시,한국동물보육원 청주지부,010-4211-3245,043-267-3245,충청북도 청주시 서원구 사직대로 180,가정견 입양 및 분양
광주,서구,아이러브독 광주점,010-3143-1700,062-385-1700,광주광역시 서구 상무중앙로 78,강아지/고양이 전문 분양
광주,북구,미유펫 광주점,010-2560-6776,062-525-6776,광주광역시 북구 설죽로 245,안심 자견 분양
전북,전주시,미니퍼피 전주점,010-4575-1284,063-228-1284,전북특별자치도 전주시 완산구 홍산중앙로 45,소형견 자견 분양
강원,원주시,착한애견분양 원주본점,010-8697-4363,033-766-4363,강원특별자치도 원주시 서원대로 120,강아지/고양이 분양
강원,원주시,노이펫 원주점,010-7133-7034,033-745-7034,강원특별자치도 원주시 천사로 210,자견 전문 케어 분양
강원,원주시,컴투펫 원주점,010-7495-3111,033-734-3111,강원특별자치도 원주시 북원로 2450,소형견 분양
제주,제주시,제주 요미독앤캣,010-7192-9897,064-748-9897,제주특별자치도 제주시 노연로 85,제주 전역 안심 분양
